CODUSU,ANO4,TRIMESTRE,NRO_HOGAR,COMPONENTE,H15,REGION,MAS_500,AGLOMERADO,PONDERA,CH03,CH04,CH05,CH06,CH07,CH08,CH09,CH10,CH11,CH12,CH13,CH14,CH15,CH15_COD,CH16,CH16_COD,NIVEL_ED,ESTADO,CAT_OCUP,CAT_INAC,IMPUTA,PP02C1,PP02C2,PP02C3,PP02C4,PP02C5,PP02C6,PP02C7,PP02C8,PP02E,PP02H,PP02I,PP03C,PP03D,PP3E_TOT,PP3F_TOT,PP03G,PP03H,PP03I,PP03J,INTENSI,PP04A,PP04B_COD,PP04B1,PP04B2,PP04B3_MES,PP04B3_ANO,PP04B3_DIA,PP04C,PP04C99,PP04D_COD,PP04G,PP05B2_MES,PP05B2_ANO,PP05B2_DIA,PP05C_1,PP05C_2,PP05C_3,PP05E,PP05F,PP05H,PP06A,PP06C,PP06D,PP06E,PP06H,PP07A,PP07C,PP07D,PP07E,PP07F1,PP07F2,PP07F3,PP07F4,PP07F5,PP07G1,PP07G2,PP07G3,PP07G4,PP07G_59,PP07H,PP07I,PP07J,PP07K,PP08D1,PP08D4,PP08F1,PP08F2,PP08J1,PP08J2,PP08J3,PP09A,PP09A_ESP,PP09B,PP09C,PP09C_ESP,PP10A,PP10C,PP10D,PP10E,PP11A,PP11B_COD,PP11B1,PP11B2_MES,PP11B2_ANO,PP11B2_DIA,PP11C,PP11C99,PP11D_COD,PP11G_ANO,PP11G_MES,PP11G_DIA,PP11L,PP11L1,PP11M,PP11N,PP11O,PP11P,PP11Q,PP11R,PP11S,PP11T,P21,DECOCUR,IDECOCUR,RDECOCUR,GDECOCUR,PDECOCUR,ADECOCUR,PONDIIO,TOT_P12,P47T,DECINDR,IDECINDR,RDECINDR,GDECINDR,PDECINDR,ADECINDR,PONDII,V2_M,V3_M,V4_M,V5_M,V8_M,V9_M,V10_M,V11_M,V12_M,V18_M,V19_AM,V21_M,T_VI,ITF,DECIFR,IDECIFR,RDECIFR,GDECIFR,PDECIFR,ADECIFR,IPCF,DECCFR,IDECCFR,RDECCFR,GDECCFR,PDECCFR,ADECCFR,PONDIH
TQRMNOQRXHLMQNCDEIJAH00855032,2023,4,1,1,1,1,S,33,1683,1,2,1942-02-15 00:00:00,81,3,1,1,2,0,2,1,,3,66.0,1,,2,3,0,1,,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,1683,0,80000.0,2,,2,2,,2,1828,80000,0,0,0,0,0,0,0,0,0,0,0,80000,0,12,,12,12,,12,0.0,12,,12,12,,12,0
TQRMNOQSPHKMNLCDEIIAD00791457,2023,4,1,3,1,1,S,32,1331,3,2,2010-10-30 00:00:00,13,5,1,1,1,2,4,2,0.0,1,,1,,3,3,0,3,,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,1331,0,0.0,0,,0,0,,0,1331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,12,12,,12,0.0,12,,12,12,,12,0
TQRMNOQSPHKMNLCDEIIAD00791457,2023,4,1,4,0,1,S,32,1331,3,2,2014-04-03 00:00:00,9,5,1,1,1,2,2,2,4.0,1,,1,,1,4,0,3,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,1331,0,0.0,0,,0,0,,0,1331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,12,12,,12,0.0,12,,12,12,,12,0
TQRMNOQSPHKMNLCDEIIAD00791457,2023,4,1,5,0,1,S,32,1331,3,1,2017-03-27 00:00:00,6,5,1,1,1,2,2,2,1.0,1,,1,,1,4,0,3,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,1331,0,0.0,0,,0,0,,0,1331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,12,12,,12,0.0,12,,12,12,,12,0
TQRMNOPQXHLMSLCDEIJAH00855033,2023,4,1,1,1,1,S,33,3515,1,2,1986-05-22 00:00:00,37,1,1,1,2,0,7,1,,5,222.0,1,,6,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,6800.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,20332.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000,10,,9,9,,10,4024,0,500000.0,10,,9,10,,10,4477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,12,12,,12,0.0,12,,12,12,,12,0
TQRMNOPQXHLMSLCDEIJAH00855033,2023,4,1,2,0,1,S,33,3515,3,2,2018-11-23 00:00:00,4,5,1,1,1,1,1,2,0.0,1,,6,,7,4,0,5,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,3515,0,0.0,0,,0,0,,0,3515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,12,12,,12,0.0,12,,12,12,,12,0
TQRMNOPQXHLMSLCDEIJAH00855033,2023,4,1,3,1,1,S,33,3515,3,1,2013-06-27 00:00:00,10,5,1,1,1,2,2,2,4.0,1,,1,,1,3,0,3,,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,3515,0,0.0,0,,0,0,,0,3515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,12,12,,12,0.0,12,,12,12,,12,0
TQRMNORQPHJMORCDEIJAH00794795,2023,4,1,3,1,1,S,33,1796,3,2,1992-11-26 00:00:00,30,5,4,1,2,0,4,1,,1,,1,,4,2,3,0,,2,1,2,2,2,1,2,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,1.0,4.0,2.0,8600.0,2.0,0.0,0.0,0.0,99.0,9.0,10333.0,7.0,0.0,0.0,0.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,2.0,0,0,,0,0,,0,1796,0,0.0,0,,0,0,,0,1796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,12,12,,12,0.0,12,,12,12,,12,0
TQRMNOQRSHJMLPCDEIIAD00801877,2023,4,1,2,0,1,S,32,3949,3,1,2020-07-04 00:00:00,3,5,1,1,1,1,1,2,0.0,1,,6,,7,4,0,5,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,3949,0,0.0,0,,0,0,,0,3949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,12,12,,12,0.0,12,,12,12,,12,0
TQRMNOQUYHLMMNCDEIIAD00854779,2023,4,1,1,1,1,S,32,2384,1,1,1957-08-06 00:00:00,66,3,1,1,2,0,6,1,,1,,1,,6,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,32.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,8401.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,10333.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000,6,,5,5,,3,2780,0,200000.0,6,,6,6,,4,2894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,12,12,,12,0.0,12,,12,12,,12,0
TQRMNOQUYHLMMNCDEIIAD00854779,2023,4,1,2,1,1,S,32,2384,3,1,1985-10-29 00:00:00,38,5,4,1,2,0,4,1,,1,,1,,4,2,0,0,,1,1,2,2,2,2,2,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,,0,2384,0,0.0,0,,0,0,,0,2384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,12,12,,12,0.0,12,,12,12,,12,0
TQRMNOQUYHLMMNCDEIIAD00854779,2023,4,1,3,2,1,S,32,2384,5,1,2013-10-22 00:00:00,10,5,1,1,1,1,2,2,3.0,1,,1,,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,2384,0,,13,,13,13,,13,2384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,12,12,,12,0.0,12,,12,12,,12,0
TQRMNOPVPHJMPOCDEIJAH00796085,2023,4,1,3,1,1,S,33,2104,3,2,1999-07-02 00:00:00,24,5,4,1,1,1,7,2,0.0,1,,1,,5,2,0,0,,2,1,2,2,2,2,2,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,,0,2104,0,0.0,0,,0,0,,0,2104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,12,12,,12,0.0,12,,12,12,,12,0
TQRMNOPVPHJMPOCDEIJAH00796085,2023,4,1,4,1,1,S,33,2104,3,2,2002-02-06 00:00:00,21,5,4,1,1,1,7,2,0.0,1,,1,,5,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,4000.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,10333.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,1.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,250000,7,,7,7,,7,3015,0,250000.0,7,,7,7,,7,3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,12,12,,12,0.0,12,,12,12,,12,0
TQRMNOSTSHKOMSCDEIJAH00792205,2023,4,1,1,1,1,S,33,951,1,1,1958-02-25 00:00:00,65,2,1,1,2,0,7,2,4.0,1,,1,,5,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,35.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,8401.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,10333.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,100000.0,0.0,0.0,0.0,0.0,20000.0,0.0,2.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,3,,3,3,,3,1195,0,120000.0,3,,3,3,,4,1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,12,12,,12,0.0,12,,12,12,,12,0
TQRMNOPYVHLMNOCDEIJAH00855044,2023,4,1,1,1,1,S,33,948,1,2,1956-04-28 00:00:00,67,4,1,1,2,0,4,1,,1,,1,,4,3,0,4,,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,948,0,124000.0,4,,4,4,,4,1045,124000,0,0,0,0,0,0,0,0,0,0,0,124000,0,12,,12,12,,12,0.0,12,,12,12,,12,0
TQRMNOQYPHLKPLCDEIJAH00855045,2023,4,1,1,1,1,S,33,1697,1,1,1966-12-27 00:00:00,56,2,2,1,2,0,7,1,,1,,1,,6,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,45.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,7400.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,6001.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,200000.0,0.0,100000.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000,8,,7,8,,8,2578,0,300000.0,8,,8,8,,8,2814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,12,12,,12,0.0,12,,12,12,,12,0
